date,vlog,blog,isPartial
2019-06-30,12,26,False
2019-07-07,11,25,False
2019-07-14,10,24,False
2019-07-21,9,23,False
2019-07-28,9,25,False
2019-08-04,8,22,False
2019-08-11,9,23,False
2019-08-18,8,24,False
2019-08-25,9,25,False
2019-09-01,8,25,False
2019-09-08,9,27,False
2019-09-15,8,25,False
2019-09-22,8,25,False
2019-09-29,8,24,False
2019-10-06,9,24,False
2019-10-13,7,25,False
2019-10-20,8,23,False
2019-10-27,8,23,False
2019-11-03,8,21,False
2019-11-10,8,23,False
2019-11-17,8,24,False
2019-11-24,7,21,False
2019-12-01,7,22,False
2019-12-08,8,21,False
2019-12-15,8,22,False
2019-12-22,8,18,False
2019-12-29,8,18,False
2020-01-05,8,22,False
2020-01-12,8,23,False
2020-01-19,7,21,False
2020-01-26,8,22,False
2020-02-02,7,22,False
2020-02-09,7,21,False
2020-02-16,7,21,False
2020-02-23,7,22,False
2020-03-01,7,21,False
2020-03-08,7,21,False
2020-03-15,6,20,False
2020-03-22,6,21,False
2020-03-29,8,21,False
2020-04-05,8,22,False
2020-04-12,8,22,False
2020-04-19,8,20,False
2020-04-26,8,23,False
2020-05-03,9,23,False
2020-05-10,10,22,False
2020-05-17,9,20,True
